"Year","Tanom","delta1","Tanom5","delta5","Tanom10","delta10"
"1850","-0.479","0.177","NaN","NaN","NaN","NaN"
"1851","-0.361","0.151","NaN","NaN","NaN","NaN"
"1852","-0.356","0.154","-0.383","0.112","NaN","NaN"
"1853","-0.386","0.129","-0.350","0.100","NaN","NaN"
"1854","-0.333","0.142","-0.365","0.094","NaN","NaN"
"1855","-0.314","0.135","-0.409","0.092","-0.398","0.085"
"1856","-0.435","0.120","-0.416","0.096","-0.410","0.087"
"1857","-0.576","0.136","-0.420","0.096","-0.423","0.088"
"1858","-0.422","0.134","-0.444","0.091","-0.438","0.091"
"1859","-0.352","0.124","-0.465","0.097","-0.442","0.099"
"1860","-0.435","0.138","-0.476","0.106","-0.461","0.100"
"1861","-0.538","0.149","-0.472","0.119","-0.455","0.109"
"1862","-0.630","0.178","-0.488","0.134","-0.419","0.115"
"1863","-0.403","0.169","-0.464","0.141","-0.398","0.120"
"1864","-0.431","0.170","-0.407","0.143","-0.381","0.128"
"1865","-0.318","0.169","-0.327","0.142","-0.367","0.130"
"1866","-0.252","0.166","-0.296","0.139","-0.346","0.125"
"1867","-0.230","0.158","-0.258","0.137","-0.333","0.117"
"1868","-0.249","0.158","-0.262","0.124","-0.314","0.113"
"1869","-0.241","0.158","-0.283","0.114","-0.300","0.099"
"1870","-0.336","0.119","-0.302","0.100","-0.298","0.095"
"1871","-0.357","0.118","-0.310","0.087","-0.306","0.087"
"1872","-0.325","0.122","-0.332","0.080","-0.309","0.083"
"1873","-0.293","0.106","-0.345","0.079","-0.270","0.077"
"1874","-0.350","0.108","-0.354","0.076","-0.263","0.070"
"1875","-0.401","0.106","-0.293","0.077","-0.267","0.068"
"1876","-0.400","0.107","-0.217","0.077","-0.255","0.067"
"1877","-0.020","0.113","-0.200","0.073","-0.241","0.067"
"1878","0.086","0.104","-0.185","0.075","-0.247","0.066"
"1879","-0.265","0.091","-0.149","0.075","-0.254","0.064"
"1880","-0.325","0.120","-0.201","0.072","-0.272","0.062"
"1881","-0.220","0.110","-0.284","0.070","-0.278","0.059"
"1882","-0.282","0.094","-0.331","0.073","-0.304","0.057"
"1883","-0.330","0.081","-0.358","0.064","-0.361","0.053"
"1884","-0.497","0.083","-0.413","0.057","-0.361","0.054"
"1885","-0.461","0.081","-0.461","0.054","-0.370","0.053"
"1886","-0.497","0.078","-0.456","0.055","-0.391","0.052"
"1887","-0.519","0.083","-0.395","0.053","-0.405","0.050"
"1888","-0.308","0.082","-0.400","0.055","-0.419","0.050"
"1889","-0.190","0.079","-0.376","0.059","-0.418","0.050"
"1890","-0.485","0.089","-0.358","0.059","-0.400","0.051"
"1891","-0.378","0.090","-0.379","0.062","-0.383","0.052"
"1892","-0.431","0.084","-0.419","0.062","-0.346","0.053"
"1893","-0.410","0.088","-0.388","0.060","-0.336","0.052"
"1894","-0.392","0.081","-0.359","0.058","-0.363","0.051"
"1895","-0.329","0.084","-0.314","0.056","-0.335","0.050"
"1896","-0.232","0.082","-0.317","0.055","-0.305","0.049"
"1897","-0.209","0.080","-0.287","0.056","-0.298","0.048"
"1898","-0.423","0.079","-0.249","0.054","-0.288","0.048"
"1899","-0.244","0.082","-0.245","0.055","-0.304","0.049"
"1900","-0.134","0.076","-0.275","0.055","-0.309","0.049"
"1901","-0.215","0.078","-0.282","0.053","-0.307","0.049"
"1902","-0.358","0.077","-0.333","0.054","-0.328","0.049"
"1903","-0.458","0.076","-0.375","0.054","-0.338","0.048"
"1904","-0.501","0.083","-0.385","0.053","-0.354","0.047"
"1905","-0.340","0.076","-0.401","0.052","-0.387","0.047"
